Source,Target,Type,Weight
89,12,Undirected,1390744.5
89,11,Undirected,1390744.5
25,6,Undirected,1390744.5
25,89,Undirected,1390744.5
89,7,Undirected,1390744.5
25,41,Undirected,1390744.5
41,7,Undirected,1390744.5
25,10,Undirected,1390744.5
28,28,Undirected,3767300
28,29,Undirected,3767300
29,229,Undirected,3767300
25,14,Undirected,2031628
21,35,Undirected,771049.5
4,101,Undirected,5042461
8,101,Undirected,5042461
101,47,Undirected,5042461
4,124,Undirected,5042461
8,124,Undirected,5042461
5,124,Undirected,5042461
124,27,Undirected,5042461
124,47,Undirected,5042461
6,90,Undirected,1979841.5
90,10,Undirected,1979841.5
108,10,Undirected,1979841.5
46,5,Undirected,2863564.5
40,100,Undirected,2863564.5
46,100,Undirected,2863564.5
30,32,Undirected,9152937.5
30,23,Undirected,9152937.5
17,23,Undirected,9152937.5
32,33,Undirected,9152937.5
23,33,Undirected,9152937.5
106,91,Undirected,1414709.5
91,235,Undirected,1414709.5
1,98,Undirected,1694832.5
3,98,Undirected,1694832.5
97,3,Undirected,1694832.5
78,3,Undirected,1694832.5
34,3,Undirected,1694832.5
61,8,Undirected,3965144.5
61,6,Undirected,7071007.5
61,27,Undirected,3965144.5
2,62,Undirected,953527.5
62,1,Undirected,953527.5
62,12,Undirected,953527.5
62,11,Undirected,953527.5
77,3,Undirected,201276
125,3,Undirected,201276
62,3,Undirected,201276
3,236,Undirected,201276
23,7,Undirected,12221761
102,3,Undirected,1361512
102,11,Undirected,1361512
8,126,Undirected,5746474
126,27,Undirected,5746474
38,103,Undirected,531822.5
4,103,Undirected,531822.5
103,5,Undirected,531822.5
9,30,Undirected,745615.5
9,33,Undirected,745615.5
127,5,Undirected,10753796
42,63,Undirected,24796077.5
63,129,Undirected,24796077.5
5,237,Undirected,10925730
99,1,Undirected,1247670
128,1,Undirected,1247670
99,3,Undirected,1247670
128,3,Undirected,1247670
42,34,Undirected,15004638
78,129,Undirected,3496828
34,129,Undirected,15004638
48,238,Undirected,5683634
36,238,Undirected,5683634
31,129,Undirected,14556261.5
61,129,Undirected,14556261.5
9,229,Undirected,906368.5
1,230,Undirected,313736
2,24,Undirected,1993361.5
17,45,Undirected,534298.5
2,45,Undirected,1993361.5
36,181,Undirected,9307355
35,28,Undirected,595500.5
35,229,Undirected,775330
3,239,Undirected,2235345.5
20,20,Undirected,912751.5
15,15,Undirected,2494193.5
20,26,Undirected,199120
20,37,Undirected,199120
15,26,Undirected,199120
15,37,Undirected,199120
20,14,Undirected,199120
21,15,Undirected,199120
20,64,Undirected,199120
15,14,Undirected,199120
50,3,Undirected,1861774.5
35,39,Undirected,3478995.5
35,15,Undirected,3817406
99,95,Undirected,353431
95,128,Undirected,353431
95,1,Undirected,353431
55,16,Undirected,6517797
78,10,Undirected,6403259.5
24,93,Undirected,1932150
24,92,Undirected,1932150
93,45,Undirected,1932150
45,176,Undirected,1932150
10,175,Undirected,1754149
17,176,Undirected,212863
2,105,Undirected,5457278.5
81,1,Undirected,5101560
105,1,Undirected,5457278.5
81,3,Undirected,5101560
105,12,Undirected,5457278.5
81,11,Undirected,5101560
20,23,Undirected,1071891
6,94,Undirected,2710254.5
38,94,Undirected,245167
20,5,Undirected,1626383
42,11,Undirected,2406610.5
129,3,Undirected,1595234
48,5,Undirected,6527653.5
49,5,Undirected,6527653.5
91,48,Undirected,7343733
49,49,Undirected,7343733
49,62,Undirected,7343733
48,8,Undirected,7343733
8,62,Undirected,6324444
45,45,Undirected,3992192.5
4,93,Undirected,2358298.5
4,74,Undirected,2035012
4,176,Undirected,2328563.5
93,1,Undirected,2358298.5
6,24,Undirected,3651437
6,45,Undirected,3651437
5,130,Undirected,3651437
130,10,Undirected,3651437
73,28,Undirected,2387385.5
26,28,Undirected,2387385.5
30,39,Undirected,1329239.5
106,49,Undirected,3278684.5
107,1,Undirected,3130989
1,108,Undirected,7477081.5
108,3,Undirected,7477081.5
31,16,Undirected,9165737.5
4,131,Undirected,204894
131,5,Undirected,204894
131,10,Undirected,204894
131,28,Undirected,204894
9,131,Undirected,204894
131,2,Undirected,204894
131,1,Undirected,204894
131,3,Undirected,204894
67,27,Undirected,10190470
67,100,Undirected,10144015
6,63,Undirected,13095276.5
6,43,Undirected,10190470
43,100,Undirected,10144015
68,27,Undirected,10190470
68,100,Undirected,10144015
63,27,Undirected,9148995
4,41,Undirected,1546530
8,41,Undirected,1546530
5,240,Undirected,1893398.5
132,4,Undirected,1065160
132,5,Undirected,1065160
4,133,Undirected,1065160
133,5,Undirected,1065160
4,134,Undirected,1065160
134,5,Undirected,1065160
4,135,Undirected,1065160
135,5,Undirected,1065160
55,4,Undirected,5601824
55,10,Undirected,5601824
16,108,Undirected,1048970
4,208,Undirected,5393305.5
136,5,Undirected,4269930
10,208,Undirected,5393305.5
6,95,Undirected,3050053.5
4,109,Undirected,3050053.5
